C:\Program Files\AutoIt3\Include\Memory.au3 UDF: _MemVirtualAlloc
C:\Program Files\AutoIt3\Include\Memory.au3 UDF: _MemVirtualAlloc
C:\Program Files\AutoIt3\Include\Memory.au3 UDF: _MemVirtualFree
C:\Program Files\AutoIt3\Include\Memory.au3 UDF: _MemVirtualFree
C:\Users\User\Desktop\Huawei Hacker Toolkit\AES.au3 UDF: _AES_CodeDecompress
C:\Users\User\Desktop\Huawei Hacker Toolkit\AES.au3 UDF: _AES_CodeDecompress
C:\Users\User\Desktop\Huawei Hacker Toolkit\AES.au3 UDF: _AES_Exit
C:\Users\User\Desktop\Huawei Hacker Toolkit\AES.au3 UDF: _AES_Exit
C:\Users\User\Desktop\Huawei Hacker Toolkit\AES.au3 UDF: _AES_Startup
C:\Users\User\Desktop\Huawei Hacker Toolkit\AES.au3 UDF: _AES_Startup
C:\Users\User\Desktop\Huawei Hacker Toolkit\AES.au3 UDF: _AesCryptOFB
C:\Users\User\Desktop\Huawei Hacker Toolkit\AES.au3 UDF: _AesCryptOFB
C:\Users\User\Desktop\Huawei Hacker Toolkit\AES.au3 UDF: _AesDecrypt
C:\Users\User\Desktop\Huawei Hacker Toolkit\AES.au3 UDF: _AesDecrypt
C:\Users\User\Desktop\Huawei Hacker Toolkit\AES.au3 UDF: _AesDecryptCBC
C:\Users\User\Desktop\Huawei Hacker Toolkit\AES.au3 UDF: _AesDecryptCBC
C:\Users\User\Desktop\Huawei Hacker Toolkit\AES.au3 UDF: _AesDecryptCBC_Pad
C:\Users\User\Desktop\Huawei Hacker Toolkit\AES.au3 UDF: _AesDecryptCBC_Pad
C:\Users\User\Desktop\Huawei Hacker Toolkit\AES.au3 UDF: _AesDecryptCFB
C:\Users\User\Desktop\Huawei Hacker Toolkit\AES.au3 UDF: _AesDecryptCFB
C:\Users\User\Desktop\Huawei Hacker Toolkit\AES.au3 UDF: _AesDecryptKey
C:\Users\User\Desktop\Huawei Hacker Toolkit\AES.au3 UDF: _AesDecryptKey
C:\Users\User\Desktop\Huawei Hacker Toolkit\AES.au3 UDF: _AesEncryptKey
C:\Users\User\Desktop\Huawei Hacker Toolkit\AES.au3 UDF: _AesEncryptKey
C:\Users\User\Desktop\Huawei Hacker Toolkit\AES.au3 UDF: _AesPrepareKey
C:\Users\User\Desktop\Huawei Hacker Toolkit\AES.au3 UDF: _AesPrepareKey
C:\Users\User\Desktop\Huawei Hacker Toolkit\MCFinclude.au3 UDF: _ArrayVarIsArrayVar
C:\Users\User\Desktop\Huawei Hacker Toolkit\MCFinclude.au3 UDF: _ArrayVarIsNumber
C:\Users\User\Desktop\Huawei Hacker Toolkit\MCFinclude.au3 UDF: _ArrayVarIsNumber
C:\Users\User\Desktop\Huawei Hacker Toolkit\MCFinclude.au3 UDF: _ArrayVarIsVar
C:\Users\User\Desktop\Huawei Hacker Toolkit\MCFinclude.au3 UDF: _dummyCalls
C:\Users\User\Desktop\Huawei Hacker Toolkit\MCFinclude.au3 UDF: _dummyCalls
C:\Users\User\Desktop\Huawei Hacker Toolkit\MCFinclude.au3 UDF: _MCFCC
C:\Users\User\Desktop\Huawei Hacker Toolkit\MCFinclude.au3 UDF: _MCFCC
C:\Users\User\Desktop\Huawei Hacker Toolkit\MCFinclude.au3 UDF: _MCFCC_Init
C:\Users\User\Desktop\Huawei Hacker Toolkit\MCFinclude.au3 UDF: _MCFCC_Init
C:\Users\User\Desktop\Huawei Hacker Toolkit\MCFinclude.au3 UDF: _VarIsArrayVar
C:\Users\User\Desktop\Huawei Hacker Toolkit\MCFinclude.au3 UDF: _VarIsNumber
C:\Users\User\Desktop\Huawei Hacker Toolkit\MCFinclude.au3 UDF: _VarIsNumber
C:\Users\User\Desktop\Huawei Hacker Toolkit\MCFinclude.au3 UDF: _VarIsVar
